,DecisisionTree,KNN,Naive Bayes,SVM,Random Forest
chill,0.75889379,0.769642857,0.738765518,0.75380802,0.74344996
mood,0.709340368,0.710703962,0.659123316,0.670431958,0.706622882
pop,0.792653711,0.780723946,0.67311399,0.799569269,0.7671224
electronic,0.733582383,0.733359726,0.720888998,0.746060309,0.712556624
hip-hop,0.8377702,0.838629345,0.740637018,0.822513972,0.780272805
party,0.855238095,0.834761905,0.819761905,0.730952381,0.829285714
rock,0.78529934,0.776265695,0.646138116,0.787560171,0.762524826
workout,0.731666667,0.689285714,0.68952381,0.698571429,0.73047619
Dinner,0.769275301,0.736681935,0.73704924,0.749496421,0.758836076
Sleep,0.828543032,0.81665639,0.796296732,0.819068037,0.807785017
Indie,0.730041933,0.717613993,0.644972612,0.735677534,0.71411658
R&B,0.864282421,0.845249985,0.865168357,0.739877951,0.864947118
Trending,0.737176471,0.753411765,0.616235294,0.768705882,0.765882353
Metal,0.886016433,0.861383166,0.856770341,0.884814429,0.869393186
Soul,0.747338422,0.733690199,0.57151508,0.704288138,0.69784479
Romance,0.755690073,0.746731235,0.748910412,0.767554479,0.740677966
Jazz,0.818047906,0.827410062,0.801658576,0.814853695,0.804426349
Classical,0.746314677,0.747453618,0.648063286,0.751991342,0.718193671
Latin,0.782693919,0.777087678,0.611359109,0.780975832,0.768888248
Country,0.796806729,0.787768034,0.644084728,0.792695324,0.774839263
Folk & Americana,0.790548533,0.778654008,0.748593312,0.788619531,0.781388159
Blues,0.71375558,0.743325456,0.718610147,0.731850804,0.696981941
Travel,0.627639155,0.613435701,0.591362764,0.607485605,0.63109405
Kids,0.710885735,0.706064532,0.664266383,0.63121425,0.686584418
Reggae,0.816839288,0.835097815,0.690764432,0.826640337,0.813192086
Gaming,0.721658523,0.743766095,0.726182901,0.735074723,0.688214146
Punk,0.821459247,0.83043715,0.70673771,0.850337704,0.832191536
Funk,0.789753701,0.802197108,0.732741424,0.779806792,0.775240758
Comedy,0.960517732,0.950232228,0.953880101,0.956701267,0.953218404
