Date,Genre,artist,lastPos,peakPos,rank,title,weeks
2016-10-02,pop-songs,The Chainsmokers Featuring Halsey,2.0,1.0,1.0,Closer,30.0
2016-10-02,pop-songs,Major Lazer Featuring Justin Bieber & MO,1.0,1.0,2.0,Cold Water,20.0
2016-10-02,pop-songs,Shawn Mendes,4.0,3.0,3.0,Treat You Better,24.0
2016-10-02,pop-songs,Sia Featuring Sean Paul,5.0,1.0,4.0,Cheap Thrills,31.0
2016-10-02,pop-songs,Adele,3.0,1.0,5.0,Send My Love (To Your New Lover),21.0
2016-10-02,pop-songs,twenty one pilots,9.0,2.0,6.0,Heathens,21.0
2016-10-02,pop-songs,twenty one pilots,6.0,1.0,7.0,Ride,26.0
2016-10-02,pop-songs,Kiiara,10.0,5.0,8.0,Gold,27.0
2016-10-02,pop-songs,DJ Snake Featuring Justin Bieber,14.0,2.0,9.0,Let Me Love You,23.0
2016-10-02,pop-songs,Ariana Grande,7.0,7.0,10.0,Into You,20.0
2016-10-02,pop-songs,Charlie Puth Featuring Selena Gomez,12.0,11.0,11.0,We Don't Talk Anymore,20.0
2016-10-02,pop-songs,Drake Featuring Rihanna,11.0,9.0,12.0,Too Good,20.0
2016-10-02,pop-songs,Daya,13.0,8.0,13.0,"Sit Still, Look Pretty",29.0
2016-10-02,pop-songs,Calvin Harris Featuring Rihanna,8.0,2.0,14.0,This Is What You Came For,25.0
2016-10-02,pop-songs,Kungs vs Cookin' On 3 Burners,16.0,15.0,15.0,This Girl,14.0
2016-10-02,pop-songs,gnash Featuring Olivia O'Brien,19.0,5.0,16.0,I Hate U I Love U,25.0
2016-10-02,pop-songs,Hailee Steinfeld & Grey Featuring Zedd,22.0,5.0,17.0,Starving,28.0
2016-10-02,pop-songs,Coldplay,21.0,18.0,18.0,Hymn For The Weekend,20.0
2016-10-02,pop-songs,Tory Lanez,23.0,19.0,19.0,Luv,16.0
2016-10-02,pop-songs,Rihanna,18.0,16.0,20.0,Needed Me,20.0
2016-10-02,pop-songs,Calvin Harris,33.0,12.0,21.0,My Way,9.0
2016-10-02,pop-songs,Lady Gaga,24.0,22.0,22.0,Perfect Illusion,6.0
2016-10-02,pop-songs,Alessia Cara,25.0,1.0,23.0,Scars To Your Beautiful,33.0
2016-10-02,pop-songs,Lukas Graham,20.0,20.0,24.0,Mama Said,13.0
2016-10-02,pop-songs,The Weeknd Featuring Daft Punk,0.0,3.0,25.0,Starboy,21.0
2016-10-02,pop-songs,X Ambassadors,26.0,10.0,26.0,Unsteady,20.0
2016-10-02,pop-songs,Meghan Trainor Featuring Yo Gotti,30.0,27.0,27.0,Better,6.0
2016-10-02,pop-songs,Jon Bellion,31.0,10.0,28.0,All Time Low,26.0
2016-10-02,pop-songs,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",29.0,21.0,29.0,Sucker For Pain,14.0
2016-10-02,pop-songs,Tinie Tempah Featuring Zara Larsson,28.0,28.0,30.0,Girls Like,8.0
2016-10-02,pop-songs,Sia Featuring Kendrick Lamar,0.0,10.0,31.0,The Greatest,20.0
2016-10-02,pop-songs,Ariana Grande Featuring Nicki Minaj,0.0,1.0,32.0,Side To Side,24.0
2016-10-02,pop-songs,Marc E. Bassy Featuring G-Eazy,32.0,32.0,33.0,You & Me,11.0
2016-10-02,pop-songs,Frenship & Emily Warren,34.0,24.0,34.0,Capsize,15.0
2016-10-02,pop-songs,Jason Derulo,38.0,35.0,35.0,Kiss The Sky,4.0
2016-10-02,pop-songs,Britney Spears Featuring G-Eazy,27.0,20.0,36.0,Make Me...,11.0
2016-10-02,pop-songs,Pitbull Featuring Flo Rida & LunchMoney Lewis,36.0,22.0,37.0,Greenlight,13.0
2016-10-02,pop-songs,Nick Jonas Featuring Ty Dolla $ign,37.0,37.0,38.0,Bacon,4.0
2016-10-02,pop-songs,Martin Garrix & Bebe Rexha,0.0,16.0,39.0,In The Name Of Love,18.0
2016-10-02,pop-songs,Ellie Goulding,0.0,39.0,40.0,Still Falling For You,3.0
2016-10-09,pop-songs,The Chainsmokers Featuring Halsey,1.0,1.0,1.0,Closer,30.0
2016-10-09,pop-songs,Major Lazer Featuring Justin Bieber & MO,2.0,1.0,2.0,Cold Water,20.0
2016-10-09,pop-songs,Shawn Mendes,3.0,3.0,3.0,Treat You Better,24.0
2016-10-09,pop-songs,twenty one pilots,6.0,2.0,4.0,Heathens,21.0
2016-10-09,pop-songs,DJ Snake Featuring Justin Bieber,9.0,2.0,5.0,Let Me Love You,23.0
2016-10-09,pop-songs,Sia Featuring Sean Paul,4.0,1.0,6.0,Cheap Thrills,31.0
2016-10-09,pop-songs,Kiiara,8.0,5.0,7.0,Gold,27.0
2016-10-09,pop-songs,Adele,5.0,1.0,8.0,Send My Love (To Your New Lover),21.0
2016-10-09,pop-songs,Daya,13.0,8.0,9.0,"Sit Still, Look Pretty",29.0
2016-10-09,pop-songs,twenty one pilots,7.0,1.0,10.0,Ride,26.0
2016-10-09,pop-songs,Calvin Harris Featuring Rihanna,14.0,2.0,11.0,This Is What You Came For,25.0
2016-10-09,pop-songs,Charlie Puth Featuring Selena Gomez,11.0,11.0,12.0,We Don't Talk Anymore,20.0
2016-10-09,pop-songs,gnash Featuring Olivia O'Brien,16.0,5.0,13.0,I Hate U I Love U,25.0
2016-10-09,pop-songs,Drake Featuring Rihanna,12.0,9.0,14.0,Too Good,20.0
2016-10-09,pop-songs,The Weeknd Featuring Daft Punk,25.0,3.0,15.0,Starboy,21.0
2016-10-09,pop-songs,Ariana Grande,10.0,7.0,16.0,Into You,20.0
2016-10-09,pop-songs,Hailee Steinfeld & Grey Featuring Zedd,17.0,5.0,17.0,Starving,28.0
2016-10-09,pop-songs,Calvin Harris,21.0,12.0,18.0,My Way,9.0
2016-10-09,pop-songs,Kungs vs Cookin' On 3 Burners,15.0,15.0,19.0,This Girl,14.0
2016-10-09,pop-songs,Coldplay,18.0,18.0,20.0,Hymn For The Weekend,20.0
2016-10-09,pop-songs,Alessia Cara,23.0,1.0,21.0,Scars To Your Beautiful,33.0
2016-10-09,pop-songs,Tory Lanez,19.0,19.0,22.0,Luv,16.0
